Модель,Год,Город,Поколение,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Привод,Руль,Цвет,Растаможен в Казахстане,Опции,Состояние,Цена
ВАЗ (Lada) Granta 2190,2013,Хоргос,2011 - 2018 1 поколение,Седан,1.6 (бензин),150 000 км,Механика,Передний привод,Слева,белый металлик,Да,,б/у,2500000
ВАЗ (Lada) Granta 2190,2013,Алматы,2011 - 2018 1 поколение,Седан,1.6 (бензин),300 000 км,Механика,Передний привод,Слева,серебристый,Да,велюр,Аварийная/Не на ходу,1000000
ВАЗ (Lada) Granta 2190,2020,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),98 000 км,Механика,Передний привод,Слева,белый металлик,Да,,б/у,4000000
ВАЗ (Lada) Granta 2190,2018,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),128 170 км,Механика,Передний привод,Слева,белый,Да,"тонировка, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS, налог уплачен, техосмотр пройден",б/у,3700000
ВАЗ (Lada) Granta 2190,2020,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),52 000 км,Автомат,Передний привод,Слева,белый металлик,Да,кондиционер,б/у,5300000
ВАЗ (Lada) Granta 2190,2020,Семей,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),158 000 км,Механика,Передний привод,Слева,белый,Да,"аудиосистема, встроенный телефон, bluetooth, USB, ГУР, ABS, центрозамок, кондиционер, налог уплачен, техосмотр пройден",б/у,2900000
ВАЗ (Lada) Granta 2190,2017,Костанай,2011 - 2018 1 поколение,Седан,1.6 (бензин),98 000 км,Механика,Передний привод,Слева,,Да,,б/у,4500000
ВАЗ (Lada) Granta 2190,2014,Темиртау,2011 - 2018 1 поколение,Седан,1.6 (бензин),142 000 км,Механика,Передний привод,Слева,белый,Да,"налог уплачен, техосмотр пройден, вложений не требует",б/у,2400000
ВАЗ (Lada) Granta 2190,2013,Алматы,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,черный,Да,"тонировка, ветровики, велюр, аудиосистема, bluetooth, кондиционер, ГУР, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,2350000
ВАЗ (Lada) Granta 2190,2012,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,,Да,,б/у,2200000
ВАЗ (Lada) Granta 2190,2014,Атакент,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Автомат,Передний привод,Слева,серебристый,Да,"литые диски, тонировка, багажник, противотуманки, обогрев зеркал, велюр, встроенный телефон, bluetooth, климат-контроль, ГУР, полный электропакет, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,2800000
ВАЗ (Lada) Granta 2190,2019,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),150 000 км,Автомат,Передний привод,Слева,белый металлик,Да,"тонировка, обогрев зеркал, велюр, аудиосистема, встроенный телефон, bluetooth, ГУР, ABS, зимний режим, сигнализация, автозапуск, кондиционер, подогрев сидений, налог уплачен, техосмотр пройден, вложений не требует",б/у,3700000
ВАЗ (Lada) Granta 2190,2013,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),144 000 км,Автомат,Передний привод,Слева,серебристый металлик,Да,"литые диски, тонировка, велюр, аудиосистема, кондиционер, ГУР, ABS, налог уплачен, техосмотр пройден, вложений не требует",б/у,3100000
ВАЗ (Lada) Granta 2190,2018,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),,Автомат,Передний привод,Слева,черный,Да,,б/у,4200000
ВАЗ (Lada) Granta 2190,2012,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,серебристый металлик,Да,"тонировка, ветровики, багажник, дневные ходовые огни, bluetooth, MP3, USB, сабвуфер, ГУР, центрозамок, налог уплачен, техосмотр пройден, вложений не требует",б/у,2300000
ВАЗ (Lada) Granta 2190,2012,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,черный металлик,Да,кондиционер,б/у,2370000
ВАЗ (Lada) Granta 2190,2012,Семей,2011 - 2018 1 поколение,Седан,1.6 (бензин),140 000 км,Механика,Передний привод,Слева,черный,Да,"тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, bluetooth, MP3, USB, налог уплачен, техосмотр пройден",б/у,2000000
ВАЗ (Lada) Granta 2190,2019,Уральск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),165 000 км,Механика,Передний привод,Слева,серый,Да,"литые диски, тонировка, ксенон, хрустальная оптика, дневные ходовые огни, противотуманки, обогрев зеркал, велюр, шторки, аудиосистема, встроенный телефон, bluetooth, CD, CD-чейнджер, MP3, USB, климат-контроль, ГУР, ABS, сигнализация, автозапуск, полный электропакет, центрозамок, бортовой компьютер, подогрев сидений, датчик дождя, налог уплачен, техосмотр пройден, вложений не требует",б/у,4000000
ВАЗ (Lada) Granta 2190,2013,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),500 500 км,Механика,Передний привод,Слева,белый,Да,"литые диски, тонировка, велюр, аудиосистема, MP3",б/у,2350000
ВАЗ (Lada) Granta 2190,2019,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),136 000 км,Автомат,Передний привод,Слева,серебристый,Да,вложений не требует,б/у,4200000
ВАЗ (Lada) Granta 2190,2014,Усть-Каменогорск,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый,Да,"тонировка, спойлер, ветровики, велюр, кондиционер",б/у,2300000
ВАЗ (Lada) Granta 2190,2014,Семей,2011 - 2018 1 поколение,Седан,1.6 (бензин),184 043 км,Механика,Передний привод,Слева,голубой металлик,Да,,б/у,2600000
ВАЗ (Lada) Granta 2190,2020,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),68 000 км,Механика,Передний привод,Слева,,Да,,б/у,3950000
